"Rodiklis","1995K1","1995K2","1995K3","1995K4","1996K1","1996K2","1996K3","1996K4","1997K1","1997K2","1997K3","1997K4","1998K1","1998K2","1998K3","1998K4","1999K1","1999K2","1999K3","1999K4","2000K1","2000K2","2000K3","2000K4","2001K1","2001K2","2001K3","2001K4","2002K1","2002K2","2002K3","2002K4","2003K1","2003K2","2003K3","2003K4","2004K1","2004K2","2004K3","2004K4","2005K1","2005K2","2005K3","2005K4","2006K1","2006K2","2006K3","2006K4","2007K1","2007K2","2007K3","2007K4","2008K1","2008K2","2008K3","2008K4","2009K1"
"M_n",3504.8130000000001,3634.0279999999998,3858.3919999999998,4645.71,4364.0609999999997,4582.4970000000003,4972.5770000000002,6049.8580000000002,5376.7079999999996,6199.3320000000003,6053.5119999999997,7381.4229999999998,6032.9009999999998,6586.8289999999997,6568.5309999999999,6246.3969999999999,4617.5280000000002,5598.21,5355.1040000000003,5814.3010000000004,5370.9870000000001,5695.1899999999996,5900.5010000000002,6369.4189999999999,5983.585,6686.5240000000003,6452.366,7775.1300000000001,6488.3360000000002,7898.8500000000004,7492.9350000000004,8540.2420000000002,7173.777,7835.3699999999999,8181.5600000000004,9265.5720000000001,7804.6379999999999,9256.9629999999997,9638.9200000000001,10373.207,9145.9040000000005,11532.799999999999,12232.450000000001,13672.902,12759.751,14318.492,15030.73,15234.34,14623.960999999999,17303.674999999999,17340.617999999999,17269.026999999998,19266.709999999999,21373.849999999999,21248.275000000001,17252.811000000002,11602.731
"M_r",3451.4929999999999,3638.181,3877.8600000000001,4580.643,4207.9870000000001,4485.4070000000002,4730.3339999999998,5726.3699999999999,5178.8549999999996,6044.8159999999998,5798.0550000000003,6909.4409999999998,5759.0609999999997,6698.3739999999998,6673.0839999999998,6270.067,4919.5429999999997,6073.991,5507.616,5762.1440000000002,5375.7489999999998,5804.9989999999998,5814.4719999999998,6340.8770000000004,6003.8950000000004,6709.7209999999995,6612.2299999999996,8116.924,6951.3789999999999,8293.6499999999996,7978.5450000000001,9077.1409999999996,7701.5699999999997,8648.3619999999992,9056.6440000000002,10239.369000000001,8793.6180000000004,10189.493,10616.853999999999,11359.547,10091.373,12136.347,12070.807000000001,13384.294,12304.163,13409.325999999999,14044.701999999999,14452.564,13918.476000000001,15808.816000000001,15638.889999999999,15123.455,16498.999,17727.014999999999,17345.683000000001,14954.798000000001,11067.646000000001
"X_no",1987.0733,2333.6268,2511.4920000000002,2698.8375999999998,2052.5055000000007,1948.7378999999996,2258.3986000000004,2371.8279000000011,2226.0783000000001,2426.4673000000003,2689.6877000000004,2818.6916999999994,2603.7180999999996,2624.6225000000013,2532.0390999999991,2429.1303999999991,2202.0405999999989,2202.7405000000012,2370.4096000000004,2516.5723000000007,2622.3138000000017,2632.9630999999995,2857.5317999999993,2906.7926999999986,2991.9664999999995,3165.4513000000015,3263.1262000000011,3459.7416999999987,3278.0623000000005,4007.1003999999994,4022.5551000000014,4025.6515999999988,3774.5180999999998,4298.2313000000022,4304.0897999999979,4581.3313000000016,4143.2931000000008,4808.6410000000033,4944.1113999999998,5465.2707000000009,5094.8160999999982,5744.6807000000035,6222.3868000000002,6846.1694999999982,6460.7811999999994,7196.7414000000008,7676.652199999995,8361.5459999999985,8491.7257000000045,9184.7516000000032,9615.7482,10109.435699999998,9663.3241000000016,10819.577800000003,11238.469199999994,10052.111199999992,7442.6401999999998
"X_o",224.7629,281.89510000000001,397.63159999999999,384.74610000000001,379.488,407.57509999999996,565.06919999999991,637.98820000000001,562.21669999999995,784.3288,572.45259999999996,721.13310000000001,761.35390000000007,741.65069999999992,693.36430000000007,554.74330000000009,369.56849999999997,579.7906999999999,476.7706,296.76299999999998,864.46130000000005,638.62469999999996,878.14440000000002,792.36419999999998,1063.3386,1247.1591000000001,1006.9243,919.45630000000006,788.57269999999994,1114.665,904.42489999999998,976.40980000000002,1277.0762,623.31610000000001,1200.5826999999999,1203.4858000000002,1377.5188999999998,1306.3248000000001,1789.059,1984.9367999999999,1725.3711000000001,2050.4816000000001,2339.5676000000003,2743.7795000000001,2614.1228999999998,2938.2852000000003,2349.8022000000001,1290.4023999999999,1163.1521,1757.2313000000001,1946.8608000000002,923.47519999999997,2917.8323,4067.7806,4296.3924000000006,2421.8772000000004,1981.3230000000001
"M_no",2264.0700000000002,2517.3200000000002,2628.5100000000002,3194.1399999999999,2649.2909999999997,2781.8707000000009,2991.3168000000001,3825.3854999999985,3422.5360000000014,4027.8971999999985,3985.9934000000017,4842.6502000000019,4191.7542999999987,4834.6413999999995,4536.6495000000004,4594.6607999999978,3531.8419000000013,4138.1455999999989,3790.6735999999987,4200.2426000000014,3482.5783999999976,4035.7239,3958.7025000000021,4651.6853000000019,4064.9513999999981,4610.5523999999996,4655.6294000000007,5745.3585000000021,4824.9521000000004,6001.8738999999978,5566.6040000000003,6381.3598999999995,4989.3898000000008,6340.2856000000029,5993.2799000000032,7016.9130000000041,5940.0481000000018,7256.3295999999955,7030.4097999999985,7722.7554999999993,6635.3847000000005,7886.0999000000011,8382.1504000000041,9675.928100000001,8675.2978000000021,9950.5805999999975,10609.930300000004,12058.698400000001,11655.240399999991,13045.143300000005,13074.033000000001,13744.836700000002,13372.757700000002,13883.330500000007,13495.091700000008,11690.606699999993,7636.1980999999978
"M_o",828.09000000000003,620.50999999999999,674.09000000000003,889.35000000000002,776.26099999999997,625.67600000000004,833.45280000000002,1048.2731999999999,941.90170000000001,1002.1908000000001,841.55600000000004,1033.3911000000001,1010.4669,830.53459999999995,716.57389999999998,740.65390000000002,559.61279999999999,791.96590000000003,775.91700000000003,719.27740000000006,1286.4583,1031.6229000000001,1234.2665,1195.8318000000002,1417.0193999999999,1364.7245,1103.1403,1279.8959,1019.9959,1252.9235000000001,1070.9621999999999,1360.1083999999998,1536.7208999999998,775.68100000000004,1354.3422,1431.3728999999998,1351.6008999999999,1296.9539,1864.0127,1921.5160000000001,1797.0082,2811.9078999999997,2875.0686000000001,3088.3503999999998,3185.2417,3402.2293999999997,3318.9005000000002,2073.7078999999999,2060.7683000000002,2822.4246000000003,2893.5131000000001,2207.5597000000002,4590.6744000000008,5557.1462999999994,6012.9715999999999,3990.6172999999999,2815.0026000000003
"p_y",0.64487160179614422,0.69687594985769497,0.74536520109127302,0.75501719837260928,0.80438343495635345,0.8686540705461856,0.8634344127180803,0.88452675663986591,0.9427751416237089,0.98773287584615743,0.93720297827757593,0.99338394123762019,0.99638323603410084,1.0305474507476449,0.97214563342572236,1.0185354774069826,0.98121687487633558,1.0346241502239226,0.96448860318551233,1.0013270255781874,0.99051414738534205,1.0284508385115367,0.95741305476676608,1.0255588497441759,0.97895034984355178,1.0345018426054251,0.95942844795848947,1.0137815274560986,0.97120265687502516,1.0244755438513267,0.97120171423946244,1.0245613814584897,0.97739175906331455,1.0113465470046485,0.95699901145073862,1.016329087254134,0.96583518720053574,1.0238980581310446,1.0000266428689628,1.0660177565229383,1.0184466047654022,1.0938557598550902,1.0737059062137735,1.1349836316061062,1.0855175244170112,1.1489149599349007,1.1611083816685197,1.2067886974527535,1.1836982848029172,1.2690795039289164,1.2390345385794908,1.3176836690145093,1.3375511601010348,1.4152317595404997,1.3716763542251034,1.4092171468132026,1.307396397805636
"p_c",0.75538968023996378,0.75173107225932312,0.74851431384218725,0.74204725905028024,0.85655297719863155,0.88513768778424351,0.8898819124190529,0.90498228180385965,0.94145587952629495,0.95565084790963684,0.97679249874810392,0.98959337221598243,1.0273665183871281,1.0254449588445158,1.0194455338010724,1.019966027960667,1.0200501713274359,1.0172311764433226,1.0244092875821997,1.0078119360369295,0.99776301108277465,0.99983347799846833,0.99950999912991745,1.0025841698845668,1.0299964098234993,1.018431482732441,1.0175283997120101,1.0294360929783501,1.0263458292228,1.0312849298319235,1.0081540662647746,1.0253550140693006,1.0218426446267195,1.022722820232187,1.0096041590660343,0.99994380058775822,0.99201720927790449,1.011227903537538,1.0181239945489851,1.0171164616291801,1.0148850917942942,1.0213191871975675,1.0272889577650168,1.0414438482034127,1.050172002817054,1.0706661628243008,1.0638430363693143,1.085081511994235,1.0954974682094241,1.1144045097999695,1.1319856354127642,1.1682097689603181,1.2132636690571172,1.2494071834471336,1.2494903706945033,1.2447513150181746,1.3059584943751623
"p_g",0.57141221428673672,0.63780996664154999,0.58588758435740274,0.70203225653402967,0.75658740831039784,0.82292694648156572,0.73472939234734524,0.84213337673366595,0.88797435893638743,0.94374245161159565,0.85787752730739575,1.0001105754534447,0.99846111650961378,1.0740079395373692,0.96469327010592665,1.1253668374421799,0.96895776035123882,1.1179986382365321,0.92771290778795767,1.0449295451231346,0.97075529992421727,1.046079218286512,0.93940310307342623,1.0401686122441955,0.95210259968655409,1.049007682351514,0.9211911803684445,0.9785537810167344,1.0096622784828855,1.0546551021215356,0.95156753855957987,1.0206549281875825,0.99057194031786189,1.0846459732297258,0.9338233404528784,1.0122869081989758,0.92871852487976692,1.1090587196046204,0.92878356372476567,1.0255401054398454,0.95539703395126307,1.1609655664668244,0.96918506843366514,1.1827380890358667,0.99333834841903457,1.2273996488961769,1.2403087760095926,1.401949933601897,1.0948029270226107,1.4239918523133874,1.2614524878183369,1.4961441572837832,1.2548518470040677,1.6287351189007164,1.4504345789276405,1.7067351390891348,1.3247176901661661
"p_i",0.92223766309938204,0.92123376123176748,1.4073647612536668,1.450624006922635,0.9606592233752157,0.96334041266185799,1.3218083044016742,1.1508530604740519,1.0982079572877903,1.1211796128125622,1.1263880609158659,1.2325266549588283,1.1226336747905139,1.0880155401296441,1.0868795646490066,1.0882518934427121,1.0106736479937457,1.0371287617093352,0.96701519085543353,1.0138257425100266,0.98719616712332625,1.081554692090881,0.88147700878750179,1.0593852054032671,0.84708877060261811,1.0241445289010846,0.82915087679583699,1.0342650058171821,0.80751093297547261,1.0012686007691878,0.89306541477696144,1.02375854385295,0.76188695358527325,0.90261050903918261,0.81876102322300059,0.97476398612053516,0.80955341900036182,0.82620383215857196,0.77182054738431483,0.91538825809968638,0.8459364581602361,1.023021654240704,1.0635346225573665,1.1097925767567176,1.1522058629113807,1.2126888662280433,1.1811748021983843,1.1698236332766745,1.3187289204750425,1.3482563306916344,1.3047510187143456,1.3399708874654837,1.4015916285872028,1.3440152190277861,1.300061467854793,1.2378459409646774,0.71512920944206226
"p_x",0.8125071353052421,0.87836176350322581,0.85081697500699838,0.84081631975629811,0.9181999463874152,0.97130526104414727,0.92934456759980422,0.93967496153381969,0.98828601835199215,1.0030208501722351,0.96480512527818707,0.96526574865566495,0.94357098821449481,0.9283295090418896,0.88129223547065394,0.88161192931726851,0.86574600226241361,0.87947234003155328,0.9065170201769408,0.98521084031030437,0.98685514740256397,0.98469281987946078,1.005690737617116,1.0217545499500187,0.98968138468043232,1.010105382722694,0.97680569716406507,0.93311282169288201,0.90838057114626425,0.93555285417722633,0.93272118193470255,0.92543233825328564,0.94632811015848495,0.89789131376770592,0.91263596503410582,0.92319805442718905,0.93068312437813361,0.9682968255006299,1.0116535446911568,1.0265680741284606,0.9963828156350395,1.0296835463384444,1.0957150195755716,1.1227749891021306,1.0892456006983666,1.1170740082646526,1.1478538592366179,1.1306927859957983,1.1098958802329004,1.1648841047978424,1.1818436248477071,1.2326368255991837,1.2839979975053493,1.338251196684874,1.3668099935539089,1.2671159882879586,1.1188644001529042
"p_m",1.0154483871182702,0.99885849549541372,0.99497970530137747,1.0142047743078866,1.0370899434812892,1.0216457503187559,1.0512105487688608,1.0564909357935306,1.03820400455313,1.0255617375284873,1.0440590853312015,1.0683097228849627,1.0475494182124483,0.98334745118740752,0.98433213188984281,0.99622492072253777,0.93860913503551058,0.92166912990157546,0.97230889008965049,1.0090516654911783,0.99911416995101521,0.98108371767161373,1.0147956684631039,1.0045012700924492,0.99661719600359422,0.99654277726301899,0.97582298256412747,0.95789119129364775,0.93338832482015444,0.952397316018882,0.93913551907020643,0.94085153023402424,0.93146942766215202,0.90599468431131824,0.9033765708357312,0.90489677635408972,0.88753434593133329,0.90848121687703198,0.90788853270469771,0.91317083330875781,0.90630918111935821,0.95026946741058071,1.0133912339083875,1.0215631844309456,1.0370271427646074,1.0678010214681932,1.0702064023857538,1.0540925471770961,1.0506869430245092,1.0945585678269643,1.1088138608302762,1.1418704918948743,1.1677502374537994,1.2057218883156582,1.2249892379562108,1.1536639277909337,1.048346775818453
"p_mio","NA","NA","NA","NA",0.68708400000000003,0.67602300000000004,0.68172100000000002,0.68367599999999995,0.71824500000000002,0.70302600000000004,0.70189900000000005,0.70317300000000005,0.66305899999999995,0.57151300000000005,0.52186999999999995,0.49621300000000002,0.48339700000000002,0.58444200000000002,0.74932200000000004,0.89788900000000005,0.972881,0.94243900000000003,1.0288440000000001,1.05158,0.92920999999999998,0.94972199999999996,0.91161499999999995,0.80437499999999995,0.74883999999999995,0.85037799999999997,0.82067299999999999,0.847248,0.86646999999999996,0.74998900000000002,0.76457900000000001,0.75437600000000005,0.72035199999999999,0.82839300000000005,0.86565700000000001,0.92552100000000004,0.88361000000000001,1.085755,1.384687,1.4074329999999999,1.169827901234568,1.2694719039780522,1.2730255473251026,1.1751576995884774,1.1107439477477477,1.248121145945946,1.3424825999999999,1.4887498198198199,1.6084989459459458,1.8488750324324326,1.8973416216216217,1.4362494126126126,
"p_mino","NA","NA","NA","NA",1.26124796833773,1.19139355582937,1.24862176391631,1.23542721505395,1.2277941544708399,1.2175386995790001,1.1814752228741201,1.2002583504087501,1.21087349057339,1.1581879981119401,1.1497019663296799,1.20037164166064,1.1280299831198599,1.07602254475971,1.052624998864,1.0471134936845301,1.03329636907018,1.00613068512252,1.0008878884608701,0.99346349924961497,1.02031476082976,0.99703574108567194,0.97962970901039503,0.98259698482691604,0.96386158254298504,0.95842284258829802,0.94532258811457504,0.94201730240889803,0.93284025758924005,0.91167020916147101,0.92125522596524501,0.92404859793092697,0.91533395670517803,0.90395796287635499,0.89599672999324997,0.88858095306478502,0.89410289534865395,0.892709049331746,0.91656632838560403,0.92618470937436304,1.0137178163355407,1.0234362119205296,1.0260273236203086,1.0322452079470197,1.0601046560196561,1.0677826867321865,1.07490521007371,1.0804508071253069,1.1055075823095821,1.1142408632268632,1.1314356646191646,1.1161260397215396,
"p_xio","NA","NA","NA","NA",0.70357800000000004,0.69704100000000002,0.733931,0.77874399999999999,0.79635599999999995,0.76442299999999996,0.795292,0.79411100000000001,0.70281400000000005,0.64187099999999997,0.58364199999999999,0.52215599999999995,0.50888800000000001,0.56800899999999999,0.75272700000000003,0.91414600000000001,0.95432700000000004,0.96852199999999999,1.0481259999999999,1.166466,0.91586299999999998,0.990255,0.89766299999999999,0.72624200000000005,0.72329699999999997,0.83740899999999996,0.82516699999999998,0.86432100000000001,0.93969800000000003,0.74493900000000002,0.78541000000000005,0.79496199999999995,0.79015400000000002,0.91397899999999999,1.0119260000000001,1.0858110000000001,1.0088299999999999,1.2095229999999999,1.442429,1.4888999999999999,1.1282761300813009,1.2281478807588075,1.2544251246612468,1.056997650406504,1.0232533193473194,1.1813000466200467,1.2092928041958044,1.3189710046620045,1.3809666433566432,1.6373095431235434,1.679326407925408,1.1017113846153845,
"p_xino","NA","NA","NA","NA",0.84105347671695796,0.79578730403585096,0.79220167889155801,0.83565955572849904,0.77391248394694401,0.76016149801723398,0.73017991112825897,0.765730911382007,0.78068450038204995,0.70675412742249599,0.73748411452186102,0.74415042012346899,0.68795583594016296,0.67924190085384695,0.65648999196914903,0.73133637343590197,0.71984410319688197,0.67073526476683498,0.68474427124759396,0.72148299931180404,0.74416726999804805,0.70654462871784396,0.66824379515711696,0.68417086821294903,0.65675852338317597,0.67342300238383701,0.63846290481067502,0.66693014700624798,0.63975686926976805,0.67860433779499796,0.66012899820854398,0.69017282620134301,0.71005232905765403,0.69862423885473102,0.54852242183917699,0.73397589683113296,0.72830837127513404,0.707670656454084,0.73353323480886101,0.75878681114174396,1.0028693934571173,1.0019350839964631,1.0068211061007957,1.0179836003536691,1.048355912874368,1.0895132049786076,1.1022017541812523,1.1392076798910931,1.2093435410346167,1.2377232882147025,1.2661003632827694,1.2205144690781795,
"p_cpi",0.60445233333333337,0.63826500000000008,0.67085933333333325,0.72918299999999991,0.79450399999999988,0.82597066666666663,0.83073033333333324,0.84233999999999998,0.87822,0.88872299999999993,0.90295700000000001,0.9161459999999999,0.93538633333333332,0.94678400000000007,0.94255966666666668,0.94304133333333329,0.95247666666666664,0.95111900000000005,0.94660633333333333,0.94498166666666672,0.96040099999999995,0.9590236666666665,0.95504299999999998,0.95797166666666655,0.96102100000000013,0.97241066666666665,0.97342166666666674,0.9779796666666668,0.98576333333333355,0.97685633333333344,0.9652940000000001,0.96785399999999999,0.96926900000000005,0.96980633333333333,0.95636700000000008,0.95613566666666661,0.95756733333333344,0.97447233333333327,0.97942799999999997,0.98494666666666664,0.98774466666666672,0.99739899999999992,1.0009576666666669,1.0138993333333333,1.0203800000000001,1.0330956666666666,1.0400929999999999,1.0559953333333332,1.0644940000000001,1.083045,1.1012496666666669,1.1388436666666666,1.1776813333333331,1.2137043333333333,1.2304113333333333,1.2452223333333332,1.2797173333333334
