obs,A_N_SA,A_R_SA,B_L_SA,C_N_SA,C_R_SA,E_SA,E_SAL_SA,G_N_SA,G_R_SA,I_L,I_N_SA,I_R_SA,L_SA,M_N_SA,M_R_SA,P_C_SA,P_CPI_SA,P_G_SA,P_I_SA,P_M_DE_SA,P_M_SA,P_MINO_SA,P_PPI_SA,P_X_SA,P_Y_SA,QM_SA,T,U_SA,W_B_SA,X_N_SA,X_R_SA,Y_DU_SA,Y_MISR_SA,Y_N_SA,Y_R_DE_SA,Y_R_SA,Y_R_SA
2004Q3,-240.2937432,550.0699748,17222.17457,10415.50887,10219.43018,1435.985197,949.1246619,3074.456633,3087.004282,5.5,3641.941457,3668.65441,1614.537201,9575.373983,10608.26294,1.01835195,0.981917783,0.995935331,0.987691432,0.964086402,0.901986682,0.897985966,1.003563556,0.99895092,1.022127462,6751.670865,39,11.05902076,1252.835356,8404.152198,8485.860094,6380.626292,5646.77307,15720.39144,525733.343,15402.75599,15402.75599
2004Q4,92.30252508,836.9671909,18193.18491,10492.70117,10249.28211,1452.019811,955.2550312,3076.160395,3144.770335,5.226666667,3504.983036,3509.056368,1623.817495,9746.167058,10690.15455,1.017320644,0.984816007,0.978182846,0.995238202,0.969118334,0.910752409,0.889895664,1.030912911,1.014674973,1.037386871,7246.543893,40,10.5798641,1285.263854,9027.233723,8770.086717,6632.48904,5985.272133,16447.21379,529574.9038,15820.00817,15820.00817
2005Q1,169.9893448,802.2561237,19669.61617,10620.19472,10520.1073,1461.224965,978.5716211,3157.674027,3002.534718,5.146666667,3717.03972,3670.485057,1615.41265,10107.56782,10997.3082,1.018037789,0.988576598,1.051669447,1.023479534,0.969854695,0.917491531,0.889523416,1.048602103,1.016293598,1.046609984,7516.912166,41,9.544786275,1299.403377,9273.979888,9078.916557,6890.004914,6132.979652,16831.30988,521942.9949,16076.99156,16076.99156
2005Q2,530.0297727,704.5033635,21862.64181,11411.72519,11200.08343,1464.066426,981.6297923,3325.768464,3144.201906,4.966666667,3852.91294,3764.868837,1604.972108,11272.77814,11922.12893,1.017450614,0.994566122,1.057746469,1.01837111,0.973018068,0.947393449,0.893341858,1.084904651,1.036930839,1.072804097,7873.882438,42,8.779322784,1337.751131,9748.248726,9493.269868,7188.174663,6338.058836,17595.90695,535018.8858,16384.79848,16384.79848
2005Q3,425.6139765,187.716001,24628.90823,11792.84751,11479.59465,1477.204534,994.0743809,3319.262356,3189.72578,4.78,4250.435174,4061.651922,1598.681642,12010.59757,11940.10437,1.02810212,1.003357545,1.040610568,1.039616687,0.983373849,1.005185321,0.918040954,1.13399395,1.078017127,1.094043596,8285.4459,43,7.598580267,1367.364823,10539.079,9810.935168,7456.159026,6656.663736,18316.64044,533066.6752,16789.51916,16789.51916
2005Q4,-44.52460472,248.7833726,29643.46784,12381.77976,11804.50735,1492.611194,1009.716277,3591.155954,3231.34716,4.603333333,4443.501328,4158.058055,1606.682554,13053.34028,12783.23696,1.042089344,1.013250934,1.11134947,1.078373305,0.991730152,1.020423396,0.930253398,1.16633388,1.110930497,1.107362745,8572.09374,44,7.099806943,1426.376628,11753.10483,10508.91825,7773.707165,7011.451562,19071.677,535124.8997,17168.37723,17168.37723
2006Q1,869.7839492,766.2014503,33051.87941,12024.45599,11497.34987,1499.109902,1021.260822,3649.204002,3265.269979,4.41,4746.574381,4360.673189,1591.762508,14058.88232,13344.33666,1.052357478,1.021200203,1.117581096,1.084281675,1.003575498,1.051582834,1.007409746,1.187103874,1.113319619,1.114462295,9330.415798,45,5.820755605,1469.511427,12265.89879,10942.37551,8171.548134,7048.027002,19497.03479,540238.045,17487.53334,17487.53334
2006Q2,32.89328689,-142.2935486,36855.80051,13066.88421,12262.53559,1495.321414,1022.682629,3560.145165,3190.226486,4.7,4983.201871,4534.550551,1587.141575,13936.81304,13131.87152,1.065794997,1.030557272,1.115953736,1.095650595,1.007420954,1.063135613,1.023002405,1.194243921,1.123511077,1.126956419,9712.337193,46,5.785253334,1529.605777,12375.71847,11078.57298,8440.304534,6946.548986,20082.02997,543805.3705,17791.72054,17791.72054
2006Q3,165.2445594,24.76582205,37918.54584,13901.50289,13047.84793,1495.320698,1030.622209,4376.036962,3286.251358,5.06,5230.165658,4668.93381,1591.014633,14658.25899,13820.90253,1.066333231,1.042754778,1.331619674,1.114248553,1.00852384,1.059853972,1.027324455,1.199475107,1.126550708,1.18123308,10301.03146,47,6.014648306,1636.549506,12117.45234,10762.46479,9154.760806,7229.79838,21132.14342,548220.3613,17969.36118,17969.36118
2006Q4,255.6818936,151.5833521,41027.13732,14143.0669,12956.36351,1505.798695,1039.322787,4307.792196,3308.965798,5.27,5726.289978,5111.487889,1582.185442,14726.43892,13957.58306,1.086575163,1.055220101,1.301854555,1.132631693,1.006427082,1.054361039,1.039082591,1.182697513,1.122138372,1.181072859,10945.70506,48,4.827926303,1701.179623,12139.90356,10838.48934,9570.221615,7410.235053,21846.29561,555522.2919,18409.30683,18409.30683
2007Q1,372.4192063,34.11226552,45500.3197,14860.33735,13586.64204,1522.578592,1051.01323,4211.023707,3369.400116,5.593333333,6628.169037,5651.002012,1593.888279,16070.35886,15037.56934,1.095817186,1.064873125,1.249784401,1.161384144,1.004235414,1.066703727,1.052924796,1.200081534,1.134921451,1.213039382,11701.13676,49,4.473945086,1775.03604,12846.17423,11232.77765,9896.888204,7552.12087,22847.76467,558880.3954,18836.36474,18836.36474
2007Q2,1186.612562,621.2232142,49782.14523,15283.33341,13795.36378,1538.882195,1070.673832,4332.074063,3340.155593,6.266666667,6843.004051,5729.524011,1607.714153,16783.15739,15443.1774,1.108858255,1.080456746,1.296967744,1.192756292,1.005746703,1.088806962,1.065944637,1.248409313,1.169649053,1.24354816,12788.33263,50,4.281355487,1840.806529,13268.36393,11338.80139,10533.31999,7979.912905,24130.23062,557170.5473,19381.8906,19381.8906
2007Q3,582.1330696,168.6794854,54981.60631,15852.87181,14017.80261,1541.760871,1078.011908,4525.480539,3348.981432,6.936666667,6862.75851,5614.641333,1610.463669,16831.39537,15330.80993,1.136020146,1.104443458,1.351300576,1.220557332,1.001190871,1.096744149,1.076180242,1.263544349,1.158404142,1.261579196,13955.84164,51,4.266025977,1926.240739,13858.23257,11972.62522,11199.32476,8119.540771,24850.08113,561285.2337,19791.92015,19791.92015
2007Q4,608.4604877,159.3204961,58747.37746,17148.12437,14549.97688,1532.598418,1084.647756,4718.27551,3424.787133,7.793333333,7069.942232,5678.378252,1599.810336,16841.23865,14721.25839,1.170794996,1.138312406,1.377684313,1.251690178,1.009810332,1.14320911,1.089368453,1.383461501,1.226674679,1.291626331,15441.84323,52,4.201242885,2019.893769,13321.82484,10940.88552,11891.49148,8227.302361,26025.38878,564249.2545,20032.08989,20032.08989
2008Q1,435.0956937,1419.135722,63140.46195,18240.96508,15053.09807,1525.753288,1088.258992,5049.647443,3488.676481,7.83,7391.236533,5723.879218,1595.120315,21121.65541,17775.43021,1.212076373,1.177462535,1.4474393,1.282873466,1.021678799,1.18632732,1.097414046,1.45990738,1.312673244,1.368378516,16837.68674,53,4.348701881,2195.02637,16362.66014,12343.68202,12297.5116,9363.28822,27688.41336,570820.9175,20253.0413,20253.0413
2008Q2,-331.1279232,847.6381121,67227.82441,18404.90994,14846.02035,1521.328679,1081.794786,5234.33362,3526.175555,7.57,7262.241299,5590.126128,1595.901442,20699.5249,17298.03066,1.242621105,1.210759509,1.484422298,1.296477416,1.030278098,1.198831684,1.111640994,1.520398584,1.342362128,1.386342659,17657.63622,54,4.672767444,2256.220566,17316.30639,12866.38699,12715.87106,9598.230984,28277.18662,575631.7282,20378.31647,20378.31647
2008Q3,-251.0951086,336.7117223,70185.70744,18335.14347,14689.78184,1518.206266,1072.735868,5455.383531,3516.781304,7.713333333,7127.411473,5443.362284,1620.448717,20584.36511,16975.45679,1.254784644,1.234149341,1.551243327,1.310167664,1.035845458,1.211097023,1.132927407,1.579282436,1.338744556,1.39765463,18779.41679,55,6.309514779,2289.795743,17788.07103,13314.85723,13248.72375,9293.967772,28269.594,569039.3348,20326.03759,20326.03759
2008Q4,-598.6844412,-167.4293726,70040.39678,17739.91441,14099.98242,1514.404231,1046.382964,5523.562511,3525.896195,9.42,6010.955679,4661.098735,1645.800967,16890.61568,14608.31708,1.248176858,1.24499011,1.566569804,1.292430382,0.994891182,1.155523736,1.125991851,1.449799186,1.262236841,1.38147978,19862.99092,56,7.983756122,2285.356042,15121.23041,12076.14147,12745.48741,7970.665022,27237.86879,554612.9827,19587.37237,19587.37237
2009Q1,-91.38856848,164.6200017,69345.6903,16637.6384,12780.2576,1448.13995,1036.965776,5464.405632,3557.730138,8.156666667,4511.566802,3593.611503,1627.976887,12697.13904,11902.37575,1.303501875,1.278976489,1.53592471,1.25130608,0.967656647,1.104616815,1.126123751,1.374243476,1.182026592,1.337138155,20105.97653,57,11.04665173,2161.946776,12174.79479,10521.43732,12879.1285,6134.760517,23407.79689,532998.1336,17535.47961,17535.47961
2009Q2,106.2903278,246.2295125,,,,1419.260846,,,,7.859287375,,,1617.805354,,,,,,,0.943103195,1.062272196,1.123179796,,1.115291063,,,58,12.27245958,,,,,6647.394044,,527585.4145,,
2009Q3,-34.12155862,112.773252,,,,,,,,8.811004928,,,1611.964565,,,,,,,0.930934709,1.035303819,1.115216781,,1.073261143,,,59,,,,,,,,525745.231,,
2009Q4,163.9529219,205.3917667,,,,,,,,8.38358838,,,1608.589969,,,,,,,0.944120139,1.041269022,1.107436731,,1.078974681,,,60,,,,,,,,534521.6792,,
2010Q1,-121.2017808,-4.386700477,,,,,,,,8.242734635,,,1606.625623,,,,,,,0.954711341,1.04472756,1.098386911,,1.081418567,,,61,,,,,,,,545032.5168,,
2010Q2,-24.56672566,53.14776614,,,,,,,,8.196316737,,,1605.470357,,,,,,,0.963334214,1.046470833,1.088514947,,1.081692166,,,62,,,,,,,,546454.7265,,
