"obs","AKT_R_SA","BP_IM_SA","CN_N_SA","CN_R_SA","E_SA","E_SAL_SA","G_N_SA","G_R_SA","I_N_SA","I_R_SA","IK_R_SA","IL_M1","L_SA","LT_EUR","M_N_SA","M_R_EU15_SA","M_R_SA","M_RU_USD_SA","P_CN_SA","P_CPI_SA","P_G_SA","P_I_SA","P_M_EU15_SA","P_M_SA","P_X_SA","P_Y_SA","T","U_SA","UCC_SA","W_B_SA","X_N_SA","X_R_SA","Y_KOMP_SA","Y_MISR_SA","Y_N_SA","Y_R_SA"
"1999Q1",-226.59358073915701,3948.9029869999999,6776.7911276770701,6680.5363327298101,1500.2295587200999,1035.4315808874101,2766.0810021141601,2964.8936637465499,2233.0844173066698,1925.0526367800901,2275.27134912465,14.01333333,1728.4687120000001,4.4874000000000001,5043.4254958258998,657393.39049999998,5367.2233695043496,13045.981299999999,1.01440824361296,0.94691694635942703,0.90889898975567196,1.1202758004031801,0.90011078700000002,0.93832149200000003,0.86587818100000002,0.97806726722611703,16.0,13.242930809223999,16.2700510452777,1046.92031997716,4201.6418298695398,4845.997316,4739.3278986007299,2724.9880922171401,10785.2188928547,11172.881711357501
"1999Q2",-304.29269339529702,4145.1478989999996,7309.6977316131497,7207.9307788117003,1483.43356381075,1032.10684258583,2733.1613004217502,2741.4316215905101,2491.76882702274,2462.5373616829602,2707.15371490608,12.76,1718.065388,4.2286999999999901,5539.8216923087202,676340.85510000004,5930.9647995158903,13187.045969999999,1.01411874724166,0.94783984349347405,1.00454643400957,1.0436474906253199,0.91422677500000005,0.938535491,0.876338795,0.99676084635399198,17.0,13.6175622770958,10.874229507848201,1057.8862441546601,4181.6043815176799,4790.3423810000004,4787.6645705409701,3100.1135455849198,11250.541649012601,11211.6010033971
"1999Q3",-252.14486699067899,4262.2705930000002,7277.1514042093904,7087.7197057731701,1458.5101526762101,1016.16682257398,2477.6657619716998,2654.49419784457,2247.5113006168799,2172.2705258911101,2329.2730129225001,13.09,1709.0336629999999,4.1943000000000001,5395.4062529877901,696150.20200000005,5553.4636553608598,12851.242560000001,1.0267267479951101,0.94999554676141795,0.93186343840410402,1.0385507131346201,0.92997093900000005,0.96772531799999995,0.91433639,0.99295442113988996,18.0,14.647335140539999,13.403239754659699,1070.77491724983,4300.6870348355596,4730.3305129999999,4684.2246906050104,2883.7191282410799,10917.219721978699,10996.2089071887
"1999Q4",221.423593864677,4053.3694599999999,7160.09461027218,7073.3770478547403,1436.17936780535,985.94822520663502,2464.5579098672401,2622.93840813016,2344.5209644822899,2186.28190965667,2136.0220449058102,14.16333333,1703.2032400000001,4.1539000000000001,5381.0686279399597,716402.99750000006,5400.7114400496903,13720.59245,1.01225971156786,0.94947511022063302,0.95052826218674702,1.0447164798380899,0.95043609500000004,0.99614270199999999,0.97610435200000001,0.99243046854835104,19.0,15.744350892228301,14.133329553766,1062.4005764834701,4289.8762508764703,4358.0878300000004,4641.1843886147199,3088.1875855482199,10955.048245599901,11011.1374847057
"2000Q1",-4.1113318416228104,3867.8175729999898,7197.9231512832002,7236.7097874273504,1425.09774298916,908.929093229567,2747.0429859360102,2720.9393947926401,2300.15215676246,2128.2957197560399,2193.1864209865898,14.61333333,1693.392818,3.9468999999999999,5882.9266922014504,739235.74769999995,5864.8566254654597,14668.447,0.99464029410001498,0.95581922282185505,0.98683677673591397,1.0731357305620099,0.97346043199999999,1.001341284,0.992675686,1.0037549521593501,20.0,15.753118970998599,13.560851210246801,1055.6428156811301,5199.9538342402502,5227.2381960000002,4573.0466811591896,3510.73835746945,11402.9433284099,11509.1058418995
"2000Q2",-39.678261222026698,3964.736492,7416.0706711549301,7445.7110078108599,1411.0252060815901,900.648128488152,2504.9789984020599,2541.7949971684202,2138.7501218615698,2109.4693470776501,2093.0382405367,12.1,1686.6707739999999,3.7332999999999998,5601.7366145045798,753596.99620000005,5658.5747865453604,14189.31321,0.99601913952544796,0.95609142167205596,0.99363616384500397,1.03082243623696,0.98859375699999996,0.99521933200000001,0.98301322400000002,0.997414228853991,21.0,16.333894427525902,12.7277198553905,1060.08324992761,4832.0511406153501,4941.6452179999897,4498.9200040700198,3596.6953156048598,11373.2928162509,11323.9364157486
"2000Q3",-87.524977258310102,3877.508143,7396.9231379323301,7382.7191557851902,1402.6431189571999,891.81474944361605,2568.5100234670299,2554.5494494742302,2045.1464394325999,2163.1526017954902,2154.9167168333902,11.869999999999999,1687.540268,3.6219000000000001,5960.3349395740397,771064.84180000005,5881.1781309643102,15593.09685,1.0019239499495201,0.95848182259409498,1.0025995633925799,0.94721251155233599,1.006117946,1.009661731,1.0079603399999999,0.99510199150165202,22.0,16.952672201818,12.067961924145999,1052.24695473469,5271.1049091219402,5245.7819740000004,4456.5190199100398,3616.07070970013,11319.780208666099,11369.2641878702
"2000Q4",220.80671951068899,3922.5687130000001,7563.1423113844203,7513.9570448045297,1390.8042456974899,884.075968700658,2602.3395460410802,2587.70780430788,2202.9153529300702,2236.36519677255,2136.2134165785001,11.32,1666.4169569999999,3.4735999999999998,5897.2580343052396,796718.00340000005,5929.1726233516001,16425.329089999999,1.00654585410677,0.961243462323772,1.0127545945666301,0.95518792284904397,1.02932011,0.99373615299999996,1.0132908899999999,1.00255509234796,23.0,16.6677266271005,10.628677438056799,1057.5764261710401,5165.9118026898204,5066.9313229999998,4526.2454270660801,3809.0586316230301,11647.6524675419,11596.443684850001
"2001Q1",164.83388334935901,4092.6110370000001,7856.5423378651803,7648.8371543486401,1376.16727570224,865.87541231150203,2630.4330608627301,2651.0753466504202,2293.7175670440502,2507.8622203505602,2400.6978528475602,11.20333333,1654.783572,3.6932999999999998,6553.71870876922,796567.72759999905,6538.3672908122799,17123.035049999999,1.0271551321233701,0.95739325038965495,0.97514820365073296,0.93023092529710605,1.0006391269999999,1.001057546,1.000561493,0.99558241096419298,24.0,16.6867925932407,11.8759993061676,1066.72023711364,5874.4316297598098,5861.7646409999998,4652.8433120741802,4022.71987077002,12001.410723643499,12188.8415873837
"2001Q2",31.180667277029901,4107.3760179999999,7712.55119084128,7608.0089352613304,1360.5332992563899,865.73660247420298,2635.3206213846402,2682.6527987834902,2127.4148262061099,2219.8698061104201,2163.3538709355298,10.390000000000001,1647.37832,3.4900000000000002,6577.2820984514901,787725.55669999996,6565.15125200078,18746.714609999999,1.0137410794952399,0.96954015191814402,0.98912866814953704,0.96165349753190799,1.009791377,1.006460618,1.006658359,1.0041894934950399,25.0,17.375798274669801,9.5979253216662404,1062.1716312921101,6050.8355179947403,6026.6443730000001,4623.7459712547297,4135.8875642217699,12065.5948412122,11946.6893932566
