"Date","B_L_SA","C_N_SA","C_R_SA","D971014","D984994","E_SA","E_SAL_SA","G_N_SA","G_R_SA","I_ILG","I_L","I_N_SA","I_R_SA","L_SA","M_N_SA","M_R_SA","MEA_SA","P_C_SA","P_CPI_SA","P_DE_SA","P_G_SA","P_I_SA","P_M_SA","P_MINO_SA","P_PPI_SA","P_X_SA","P_Y_SA","QM_SA","T","U_SA","W_B_SA","X_N_SA","X_R_SA","Y_DU_SA","Y_MISR_SA","Y_N_SA","Y_R_ADD","Y_R_DE_SA","Y_R_SA"
"1997Q4",4282.2125438818503,6550.53691356329,6528.4707409774801,1.0,0.0,1550.62368141403,1021.23511260115,2189.9815624642001,2244.4197942631899,11.970000000000001,12.5966666666666,2383.3365809909401,2204.2165293961102,1810.95462254684,6772.3011138202401,6438.4385994425702,441789.299059182,1.0033799910363801,0.92295817111082101,0.98874045742816796,0.97574507588191095,1.0812624572976499,1.05185457766213,1.18776468604353,0.88554574240542305,0.97564557332908497,0.99255369261851201,1531.73227232668,12.0,14.4165697888883,898.82283569386004,5754.1820169229504,5897.8200426704097,4209.9559150769701,3744.3835817921299,10693.414888326601,337.15020594206902,484760.63488626998,10773.6387138067
"1998Q1",4577.6727997119197,6671.6325315010599,6573.7350868269104,1.0,0.0,1506.08334571507,1014.1275238994,2697.6023119903498,2678.8807144795801,13.453333333333299,13.210000000000001,2521.5655892381201,2399.3666360225102,1761.1651499479001,6557.7006583083803,6267.8340972732904,453414.04609668901,1.0148922101942199,0.92828566684201297,0.98881561376004901,1.00698858945438,1.05092967093106,1.0462466868995699,1.19849167008371,0.87526708235169504,0.94005557111111004,0.995456934570775,1668.6411614066899,13.0,14.4623663780421,943.33317583404903,5474.0318754498903,5823.0939145223001,4363.1781610908301,3786.8591340449898,10840.7320380574,-317.03529375980702,489101.70226998097,10890.206960818199
"1998Q2",4987.0571325685796,6723.3881508987997,6606.1849044590499,1.0,0.0,1480.65710276491,1008.0247419947,2572.7656309468798,2531.6189228141898,11.5133333333333,12.3666666666666,2786.2786521338398,2590.02820404153,1717.4013661654701,6566.4595991378501,6572.7583519804202,455523.97687329497,1.0177414420175599,0.94271775756931997,0.99442676582151501,1.0162531207844401,1.07577154865961,0.99904168805465399,1.1694251361671599,0.85984256682704696,0.91668542679842702,1.00062642473543,1760.07022057583,14.0,13.7878098705336,989.63302755294103,5379.5304613332801,5868.4585835749303,4592.4817859020104,3749.09991984609,11101.342208431901,70.860143694519095,487592.937312214,11094.3924066038
"1998Q3",5323.2146688908697,7050.2572578439303,6864.9629139642502,1.0,0.0,1487.6685981635201,1014.22173934642,2597.6171481905599,2491.1177878663798,12.726666666666601,10.66,2876.1412320035201,2677.8839499819101,1709.58397279356,6626.3799988875999,6727.1629924828103,459680.89572024002,1.02699131025205,0.94680253350641796,0.99846827802280802,1.04275163576885,1.0740350536934,0.98501849981815004,1.16189625973829,0.83903723215707704,0.88872363088967099,1.0053982735170801,1835.97103755938,15.0,12.878638066860701,1024.2376144026,4934.2300935356398,5552.0410643251898,4838.59040750032,3660.9603516215798,11370.5134428565,450.61915067288101,490590.22548955597,11309.461874327801
"1998Q4",5572.31113163604,7028.47274846442,6843.6890642340204,1.0,1.0,1504.66339229448,988.32644288864901,3018.93599347085,2753.9584598992401,12.720000000000001,14.156666666666601,2496.1198785926499,2332.8484699739502,1723.67075044745,5758.0096422930501,5865.1168792009103,458724.45334050403,1.02700059609605,0.94865812887372003,1.0041456059190701,1.0962169682041201,1.0699880042446599,0.98173826044495505,1.18893265572632,0.81915961074783905,0.88295275034847198,1.00937517531164,2029.0191456574501,16.0,12.777302011737101,1042.60399427128,4553.3763929654697,5156.9876090973203,4889.2791960208497,3463.8049512993398,11371.8084548857,43.819262168179201,492080.28477538098,11266.1859861718
"1999Q1",5858.9684146812497,6745.8430081206798,6673.1249863162402,1.0,1.0,1500.2229068868801,1035.42384656592,2555.6667461850102,2599.6288965554099,13.3666666666666,14.0133333333333,2370.1065998532799,2270.1066275827802,1728.4668469232199,5043.2079878287404,5367.1930941268802,460736.76610827399,1.0108971466821799,0.94692785727593298,1.00733981549499,0.98308906689387399,1.04405078204497,0.93963602564389404,1.11735301391069,0.81077202048207697,0.86665023056403001,0.98452195209825899,2276.88436657904,17.0,13.2423917877018,1046.9664781788799,4199.8282435300698,4846.0475696138101,4739.41479940923,3261.5970153028502,10862.955810093399,12.0215264256385,492811.45326057501,11033.736512367001
"1999Q2",6249.34336755191,7294.9638088818001,7195.5992529935402,1.0,1.0,1483.46871928563,1032.1075735514801,2575.4344043084002,2434.9693787544102,13.3566666666666,12.76,2742.1113727746902,2701.8612591647802,1718.06325369866,5539.9855507122402,5931.0598789693704,480886.46284597297,1.0138090730729501,0.94784114957041599,1.00966156609958,1.0576865675517599,1.0148971800359401,0.93406333164097299,1.0854171208269701,0.83322953562940005,0.87430260884533995,1.0028020048767501,2724.3469368503302,18.0,13.620751268070601,1057.82704744997,4188.0843995546702,4790.2000487974301,4787.63608627754,3524.4911986151401,11128.092864705801,-94.571041404491496,495337.80576300598,11096.999019336299
"1999Q3",6418.1697742649403,7281.3194460314298,7070.2894140999197,1.0,1.0,1458.5488714319899,1016.17049849204,2282.3487865145698,2284.4363900083099,12.8633333333333,13.09,2384.4273300142099,2324.6644116746302,1709.0378335328001,5395.4229702826296,5553.4834375639002,502295.77672665799,1.02984743899035,0.94998447668283903,1.0067172307840899,0.99908616256382898,1.0257081917026101,0.97153850028395905,1.06264849913837,0.87488007311848903,0.91201679994854001,1.0018893395295101,2963.9063332195901,19.0,14.6480446032808,1070.6887938269699,4314.0663173905996,4730.24873843773,4684.1947093485996,3254.7435428672802,10945.7316928568,68.9349708785102,501366.23448115902,10925.090487535201
"1999Q4",6255.3813753308496,7128.8836146756803,7051.74722483817,1.0,1.0,1436.07445390677,985.95536440935598,2314.1044610433401,2276.8972545584902,13.31,14.1633333333333,2134.3013447204698,2132.0199719362799,1703.2039502227699,5381.0995897765197,5400.60662399995,526052.65017340099,1.0109386209372,0.94946079341077905,1.00363912079521,1.01634118817191,1.0010700522575799,0.99638799201986805,1.0380996320133,0.93116853211755402,0.97705021609701703,0.98690680170590495,3069.3721216085901,20.0,15.739794965760399,1062.5120290252501,4258.2490457489303,4358.2704098456497,4641.1578196527098,3244.1761904556402,10772.055196499699,496.638786941359,508970.25829573203,10914.96702412
"2000Q1",6100.3653644324504,7158.2537759955303,7212.3964531747897,1.0,0.0,1425.1491372125399,908.91641405912196,2736.56518687989,2752.3957808335599,13.7466666666666,14.6133333333333,2169.8862072134598,1989.5594607434,1693.39199365847,5882.6785743747896,5864.7276961000898,559503.41019876895,0.99249310856235196,0.95585618876274103,1.0027739016724999,0.99424843110721595,0.987414535335848,1.0030608204173901,1.0250818198088301,0.99027585677260699,0.99566709963955302,0.99648256531724699,3314.94101321676,21.0,15.749025926395101,1055.7086626437599,5204.9075434246997,5227.5580315036696,4573.1766446530301,3497.2851073660099,11490.180072630599,213.55666267116899,514340.28873267001,11530.7386928265
"2000Q2",6229.1193206008202,7407.1471795466796,7419.5003403764704,1.0,0.0,1411.0075535006299,900.64841054801502,2485.5116910546699,2524.24462677988,12.630000000000001,12.1,2197.6647300924001,2171.3505545881198,1686.66361396918,5601.9056844159604,5658.8290016419696,576614.55200114695,0.998335041409385,0.95608260078682605,0.99939497331806104,0.98465563308948301,0.99680158855023304,0.98994079566470305,1.01362322273383,0.99115907946772897,0.98355895051976705,0.99821613854499303,3556.1703890886702,22.0,16.346455374778898,1059.97956055336,4859.7458770963804,4940.9807866912497,4498.8367626015197,3575.3829917523699,11306.8402785618,-70.201147188739895,516437.51849874202,11327.046159605001
"2000Q3",6054.1364069552801,7371.1643275226497,7355.5756336259201,1.0,0.0,1402.7689663681001,891.81993398728196,2588.1724027524801,2566.3537279997199,11.6833333333333,11.869999999999999,2128.6862992565498,2187.3393056864102,1687.5473469216799,5960.3455579047404,5881.4215084253801,600659.99491889798,1.00211930305297,0.95846480714084104,0.99988909482409605,1.0085018189482999,0.99697413172286198,1.0134192132575901,1.0087915698157,1.0050588025140901,1.0066408568838501,0.99495119551079203,3831.1867688541001,23.0,16.955122516403399,1052.1352918625,5280.7415143718399,5245.9042152519596,4456.4779142137804,3589.80123488975,11281.8437264118,-134.658786165127,515560.03862162901,11339.0925879735
"2000Q4",6066.63636901065,7512.6794539389402,7484.7264766518902,1.0,0.0,1390.60049468888,884.08746865268597,2614.4357012512601,2577.25517592593,11.453333333333299,11.32,2144.1979971169499,2252.86788831887,1666.4197324955401,5897.2553298107296,5928.7084377621604,635866.79414541996,1.00373466917919,0.96121862473932396,0.99845155523348506,1.01442640436718,1.0189711230213601,0.99469477909368997,0.98629860352659204,1.01450671003479,1.00906949962472,1.00669895109049,4174.2646946542,24.0,16.651644871483398,1057.7694186410399,5113.2594552478304,5067.3015656002499,4526.2863821813298,3856.99832544131,11685.4595395951,154.25745545521201,516408.816547358,11607.70012419
"2001Q1",6291.7096560124401,7858.1086365148703,7627.4441079889802,1.0,0.0,1376.27403058339,865.85881975554901,2613.7727102108402,2665.9260817435302,10.869999999999999,11.203333333333299,2212.4174161275801,2352.4021644904001,1654.7823124256699,6553.5090064383503,6537.8857286929097,637400.10396844102,1.0302413921701801,0.95745663829216499,1.00605905043115,0.98043705266629799,0.94049285004243899,1.0023896529235501,1.01364776529642,0.99611618916421396,1.00552649523861,0.98823912397210401,4525.42565178732,25.0,16.683289401656999,1066.7366606752,5894.7297329767698,5862.3315853829399,4653.0145979686404,4027.8297445060498,12055.8650563152,229.121770546356,524400.87526491203,12199.339981459299
"2001Q2",6440.4942218884298,7700.3356060124197,7588.7125085137504,1.0,0.0,1360.4755523121601,865.73425366683205,2624.6405146991801,2668.8390886458201,10.7566666666666,10.390000000000001,2174.74986911207,2260.0953055794798,1647.3659686722399,6577.4977712966001,6565.8958180119998,631331.87008695304,1.01470909556442,0.96952043068237304,1.0103846929150699,0.98343902630373004,0.96223812497786299,1.0017670023415199,1.0034902173389799,0.99010234600459801,1.0092996506201,1.0061657136805799,4640.7351296246497,26.0,17.401451768051899,1062.05584586327,6081.1066314011596,6025.0755339754496,4623.5138488557104,4112.69892125149,12016.3004925567,-34.161181812711199,521703.319132292,11942.6654368898
"2001Q3",6647.6256126039998,7806.0915348708204,7668.2732364312596,1.0,0.0,1345.4072136836401,869.21449182658705,2628.0473311277101,2669.4273150663298,9.1466666666666594,9.5800000000000001,2195.9856172120299,2421.41465888831,1636.2843933397,6511.0365436622997,6689.2129567490001,619349.30643751204,1.0179725336057099,0.97697529873700295,1.01160302769652,0.98449855378901996,0.90690192576112605,0.97336362076693395,0.98496853309160004,0.96244114326102503,0.97297967930103801,0.99535265421899499,4958.6584961811004,27.0,17.9361710170643,1062.7829024954499,6037.56382308099,6205.2311590085901,4595.9451421764797,4193.7788140622397,12099.6335463471,-119.006139502189,520223.30966174603,12156.1272731433
"2001Q4",7168.5178395517496,8061.6314053415799,7811.9516116842096,1.0,0.0,1346.65727556049,869.33610642522501,2543.7262752382899,2660.7729129559002,7.8799999999999999,8.6966666666666601,2711.8010821186799,2911.5092676302202,1633.4396138964701,7198.3443370046998,7566.6656120117896,602612.64584554103,1.0319612570671699,0.980253678747252,1.0204342295734199,0.95601028665479704,0.93140733305166801,0.95132317272982103,0.97770948572842897,0.93228201341766603,0.92245566397259404,0.990995385119112,5094.7343351074896,28.0,17.634090139088801,1071.2125310942099,6179.9435892731999,6699.4478224124096,4658.83190522309,4354.45733800167,12430.9730987608,26.910321735336701,521877.18418595399,12543.9263244063
"2002Q1",7543.6487195441496,8242.2001340994702,8009.3132481577604,0.0,0.0,1372.78001532915,862.91311161081296,2723.9425693415201,2592.8745843650499,7.9766666666666604,7.7833333333333297,2308.3536094585402,2574.6523729598198,1636.5452928216901,7121.3642666420501,7569.17909369483,598347.42314863601,1.02907701056582,0.98321564841526499,1.0230402304714601,1.05054929604648,0.89656904120413605,0.94083706812726697,0.95861849069288096,0.93543672309437298,0.92788565146348501,0.98562056809029097,5422.9771703487804,29.0,16.0382995979047,1114.41014228925,6375.49873223758,6870.9961428781398,4966.9990700255903,4068.07630179137,12521.447456403301,225.468310270758,518953.40013236401,12704.125564936699
"2002Q2",7614.1931505534703,8271.7838993935802,8072.7128461560596,0.0,0.0,1410.1011671717999,870.408713642968,2573.42334903134,2624.5272085513402,7.4666666666666597,7.1133333333333297,2726.36360528368,2878.73785738892,1633.1503482793501,7761.1422139399701,8136.7727354813396,613451.14348847,1.0246597466095,0.97372856680042097,1.0223098213100299,0.98052835598217702,0.94706907691711495,0.95383544142711596,0.96332303401641495,0.94786765973699205,0.93280238644577396,0.99908439409956495,5457.3177196970901,30.0,13.4299352988285,1110.0397244391099,7004.8036809646501,7509.4186965524596,4875.91916708392,4567.0928158175102,12924.5772875492,-12.201921348649099,522976.58316800999,12936.4219518188
"2002Q3",8096.3514017309499,8332.1008736511703,8254.7810374628207,0.0,0.0,1424.10790862877,871.18184018144098,2807.2756367186398,2764.7273903051901,6.9866666666666601,6.2833333333333297,2763.1743918828702,2864.02665679855,1629.60239672528,7560.8793683985996,8080.0533449701497,613962.88609732501,1.0093666731846,0.96880774784331802,1.0282504142509299,1.0153896715324,0.96478654810133102,0.93574621918867296,0.94879894027348299,0.94317303034593003,0.92247605532054,1.00318268507174,5663.77968224507,31.0,12.546881938547701,1122.8093234473299,6867.23617301388,7444.3516808982804,5031.5708359771597,4711.00718025269,13226.0809782916,-63.713344353491202,524548.79413555295,13184.1200761412
"2002Q4",8669.0382962277399,8368.0309676790002,8136.9198741899299,0.0,0.0,1415.3051618335101,880.80534443162298,2777.2779122023098,2786.9266187857802,6.9733333333333301,6.0533333333333301,2861.3539659723701,3089.88794284087,1621.64210592263,7892.0081731242099,8425.4772048063205,621229.62696489703,1.0284027736615799,0.96905969282470905,1.0321608870997001,0.99653786844675696,0.92603810199719305,0.93668381995291805,0.93947363493429303,0.94222007932503105,0.92269767427673899,0.99864968004931098,5835.7921574750899,32.0,12.7959374768699,1126.42313767465,7151.3243462778701,7750.4523373633401,5174.4955948571396,4573.2040858226201,13284.876630623099,-35.869847875101101,521706.41496598203,13302.839720498499
"2003Q1",9229.0402100349202,8869.9133339015698,8665.0088329043192,0.0,0.0,1405.7741438607,895.34835208067102,2745.6400218529002,2633.0809742994702,7.2833333333333297,6.2333333333333298,2538.9941209527001,3011.4441304451898,1608.68998264468,7909.48870689676,8407.1361692615101,624592.89632738603,1.02364735050461,0.96829040502406305,1.0341232468028401,1.0427480387622201,0.84311513379375003,0.94080654192514701,0.92833881540917396,0.975106512810201,0.96597731604829595,0.99766958439907005,5886.2493445797199,33.0,12.729978498778401,1151.5677915414301,7707.3734673629797,7978.8348435478501,5364.3216762524899,5078.9247402916199,13974.359313106999,125.768835867889,519271.52661671099,14007.001447803201
"2003Q2",9788.0986610089203,8994.1555782183204,8841.2056712102203,0.0,0.0,1462.9321702270099,905.72415887646503,2871.5490751285201,2866.82555449442,6.4966666666666599,6.1566666666666601,3006.4212357239699,3484.8432119556901,1690.1752437852699,7697.2422192922604,8507.2580446579104,609052.92949161504,1.01729966621024,0.96641594236259198,1.0365855609411001,1.0016476484335399,0.86271348604999898,0.90478532317774196,0.91484867326271402,0.91192171543515599,0.89528122378691399,0.98877577644135695,6195.572311164,34.0,13.310682759666699,1162.99229486132,6620.0067046780496,7394.3321146358303,5526.3322601514201,4908.7177106220297,13967.7501320378,46.358451769949099,518334.14180211897,14126.306959408201
"2003Q3",11468.1259261955,8988.4225319368506,8910.0859448161391,0.0,0.0,1441.6172028086901,913.30459127403503,2812.4367102965298,2819.1117448916698,6.4899999999999904,5.4633333333333303,3366.8237769233701,3898.97354306129,1641.35706838233,8197.3050444095607,9117.6363037010397,615755.42832038295,1.0087919002808501,0.959382247791431,1.04291069006199,0.99763222064281898,0.86351542008153703,0.89906032346147602,0.92386843111378503,0.92423691523381601,0.89639795360996599,0.98326768851998703,6373.48402578064,35.0,12.2702715158423,1169.23886530864,7236.1434766329103,8072.4676439650202,5632.1902516269602,5114.0467474581301,14288.398203128199,-51.458040500883698,522313.50798811601,14531.5445325322
"2003Q4",12824.568569663599,9466.6766227757307,9403.4606465484794,0.0,0.0,1439.8004177820501,923.47203159268201,2824.8611819388998,2886.8009872555099,6.7733333333333299,5.4733333333333301,3405.8722177752802,3766.8191973602202,1625.9433044485399,8608.6594329346208,9539.9087560451408,627778.98935283197,1.0067226288919899,0.95669406993927597,1.04032566884001,0.97854379100254596,0.90417724858206805,0.90238383333379102,0.92344494398230204,0.94017578118459899,0.925782998737262,0.989250832773935,6393.3546503246298,36.0,11.406414265176901,1186.1869420748999,7606.1508980307899,8215.9111891289103,5681.3208013652902,5207.3123384307401,14613.8762355327,39.586872965119198,523959.62588393199,14772.670137213099
"2004Q1",14257.399467907,9570.6768089945708,9675.3422224177993,0.0,0.0,1427.15857806076,935.74434244773704,2893.96237260917,2894.1136324549302,5.7166666666666597,5.4100000000000001,3774.2063402113799,4337.5038348920898,1624.14125722933,8633.0420644585593,9609.4411824566705,636997.41047856805,0.98918225205711896,0.95768039612974198,1.04531545592777,0.99994773534664805,0.870133257255155,0.89839168589941898,0.91086524700814497,0.95824813995104396,0.95142027037390198,0.99064949007611103,6445.6200622399701,37.0,12.175056482388101,1172.6477106028799,7468.4770128682403,7849.8191024805301,5913.4760168171097,5344.7584430617499,15005.535022166399,-0.16883568117918901,527159.02820121602,15147.1687741075
"2004Q2",15970.275202777901,10010.0243153426,9940.5509157260203,0.0,0.0,1429.33322386027,941.29898978673305,3051.6541515829499,3007.7180834094402,6.7666666666666604,5.4666666666666597,3507.2364534170601,4370.7851715418801,1618.8392837977001,9067.7759929729691,10017.332617264001,664553.67436734703,1.0069888882623801,0.971323970328275,1.04896451761307,1.0146077747166,0.80242709622349395,0.90520863581443201,0.90598644050361099,0.98293992060393098,0.96520464170839404,1.00399211202024,6566.21189417817,38.0,11.639925147515401,1224.65991062234,7643.7983989303202,7919.3552005727397,6228.7920689660104,5545.7114372981796,15346.2391909324,64.142130903921498,526712.63518212002,15285.21888489
"2004Q3",17222.174566752001,10415.508873806801,10219.430176379899,0.0,0.0,1436.1309103477099,949.12466194820502,3074.4566325292799,3087.0042819333198,6.4666666666666597,5.5,3353.5548714096299,4193.4875184607899,1614.5372010978101,9575.3739826024994,10608.262943641401,683477.75561096298,1.0191868523041601,0.98191778274292396,1.0511256014152699,0.99593533138989299,0.79970546153921596,0.90263354457498401,0.89798596623059401,1.0035635561245799,0.990371288785166,1.0206219875165099,6751.6708646049201,39.0,11.2261206320954,1252.83535557662,8404.1521981016103,8485.8600943596903,6380.6262916031401,5645.5268975449399,15720.391435555601,25.236866240600602,525733.34300529899,15402.755993732901
"2004Q4",18193.184913035799,10492.7011726038,10249.282108809501,0.0,0.0,1452.12006837378,955.255031193832,3076.1603954277598,3144.7703354565201,7.7333333333333298,5.2266666666666604,3720.5413334718201,4298.4920961082798,1623.81749472977,9746.1670577115001,10690.1545522373,702679.99962612905,1.0237498647427199,0.98481600730546803,1.0487122079629201,0.97818284557851398,0.86554569609195697,0.91169561769074303,0.889895664352927,1.0309129105345201,1.02932091941075,1.0396463528570199,7246.5438930058799,40.0,10.420543662245001,1285.2638543640601,9027.2337230494904,8770.0867171894206,6632.4890404796397,5984.01616932658,16447.2137942626,47.5314628976721,529574.90377328906,15820.0081682241
"2005Q1",19669.616171448801,10620.194719523401,10520.1073032312,0.0,0.0,1461.0900093893699,978.57162113530205,3157.6740274676299,3002.5347184053098,6.4966666666666599,5.1466666666666603,3849.34309726109,4311.2839470098297,1615.41265040487,10107.567817952,10997.3082046462,688666.73829226894,1.0095139159142801,0.98857659770762396,1.05552545641093,1.0516694471878401,0.892853067571868,0.91909471207524196,0.88952341622419795,1.04860210268201,1.0214853094010301,1.0469191219214899,7516.9121658506101,41.0,9.5350733950469007,1299.4033770799001,9273.9798884983502,9078.9165572398797,6890.0049136255102,6135.9405378782203,16831.309881981699,161.45723383817401,521942.994946772,16076.991555078201
