"obs","AKT_R_SA","IL_M1","L_SA","LT_EUR","M_R_EU15_SA","M_RU_USD_SA","P_M_EU15_SA","P_M_SA","P_X_SA","T","X_R_SA","BP_IM_SA","G_N_SA"
"1999Q4",221.42359397853701,14.16333333,1703.20323958061,4.1539000000000001,716402.99751909904,13720.5924491891,0.95043609499617898,0.99614270240562197,0.97610435150084696,19.0,4358.0878298861398,4053.3694596032001,2464.5579098672401
"2000Q1",-4.11133157685253,14.61333333,1693.3928180369101,3.9468999999999999,739235.74771438201,14668.447003393199,0.97346043151976303,1.00134128411669,0.99267568559320296,20.0,5227.23819573523,3867.81757342528,2747.0429859360102
"2000Q2",-39.6782610911877,12.1,1686.6707738206501,3.7332999999999998,753596.99615362205,14189.313206413801,0.98859375655603599,0.99521933246403704,0.98301322398146296,21.0,4941.6452178691598,3964.7364921253302,2504.9789984020599
"2000Q3",-87.524977743319994,11.869999999999999,1687.5402680554701,3.6219000000000001,771064.84184606106,15593.096854217099,1.0061179455720799,1.0096617314932701,1.0079603395760099,22.0,5245.7819744850103,3877.50814327535,2568.5100234670299
"2000Q4",220.80671922693901,11.32,1666.41695710456,3.4735999999999998,796718.00336380303,16425.3290899852,1.02932011002914,0.99373615337436205,1.0132908904995801,23.0,5066.9313232837503,3922.5687127579999,2602.3395460410802
"2001Q1",164.83388304616801,11.20333333,1654.78357154028,3.6932999999999998,796567.72757037205,17123.035053640098,1.0006391271723101,1.0010575456905999,1.00056149315419,24.0,5861.7646413031898,4092.6110365950799,2630.4330608627301
"2001Q2",31.180667247768699,10.390000000000001,1647.3783203475,3.4900000000000002,787725.55672349106,18746.7146146216,1.0097913768692599,1.0064606175798001,1.00665835911503,25.0,6026.6443730292604,4107.3760176842397,2635.3206213846402
"2001Q3",-19.522074676508002,9.5800000000000001,1636.2729355717599,3.5608,779869.44202792598,18863.078267565201,0.99837310131747103,0.97068021681651995,0.97444004253346805,26.0,6204.69084789098,4168.7943345696303,2612.3564658448299
"2001Q4",130.23777463535899,8.6966666670000006,1633.4342761827399,3.5823999999999998,772453.07973362703,19278.238948652699,0.981863802416162,0.94988628144919895,0.92817249908502697,27.0,6698.5130806752704,4674.3185270494196,2535.36740182434
"2002Q1",134.11391353562701,7.7833333329999999,1636.5504457331001,3.4807000000000001,774623.37461232697,19192.9438105632,0.98118134724591299,0.93982362854185497,0.92015598825014,28.0,6870.5341529860498,4895.3208859960496,2741.72408307657
"2002Q2",213.261767787119,7.1133333329999999,1633.1669450859399,3.4525000000000001,796140.20694846299,20580.631182999499,0.97990865243725001,0.95721682733390701,0.93225869977306497,29.0,7512.4688513943702,5011.6054940078302,2576.35080184138
"2002Q3",147.45389258335501,6.2833333329999901,1629.5837165072401,3.4527000000000001,801310.682843672,21637.736472533601,0.96889013800447399,0.93448725488777695,0.92767423791004699,30.0,7442.6897811385797,5360.6349109952198,2798.2996283360499
